Designator,Center-Y(mm),Center-X(mm),Comment,Footprint,Rotation,Description
R25,42.2000,39.9750,18 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"18 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R26,31.2250,23.4000,18 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",90,"18 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R27,36.2000,39.9750,18 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"18 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R28,33.7000,39.9750,18 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"18 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R29,37.7000,39.9750,18 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"18 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R30,39.2000,39.9750,18 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"18 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R38,30.0100,4.6790,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R39,31.7000,56.0000,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",270,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R40,41.7000,54.5000,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",270,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R41,31.5000,4.6750,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R42,23.8000,117.1250,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R43,12.3000,126.6750,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R44,22.3250,126.6500,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R45,17.2500,126.6500,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R46,21.7000,56.0000,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",270,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R47,11.7000,56.0000,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",270,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R48,48.5250,117.1250,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R49,46.6750,126.6500,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R50,41.7000,126.6500,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R51,36.7000,126.6500,91 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"91 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R52,10.7250,97.7250,182 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",0,"182 kOhm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R53,12.3750,97.7250,10 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",180,"10 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R54,19.2500,99.3750,10 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",180,"10 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R55,15.0000,88.5000,1 - 100 kOhm,"RESISTOR,_BOURNS_INC,_PTV09A-4015F-B104",90,"100k Ohm 1 Gang Linear Through Hole, Snap In Potentiometer,"
R56,13.8750,97.7250,66.5 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",0,"66.5 kOhm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R57,50.0500,119.2750,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R58,51.3000,119.2750,10 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",180,"10 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R59,57.7500,122.1750,150 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"150 Ohm resistor, 62.5 mW 0603 Imperial (1608 Metric)"
R60,57.7500,119.3000,3.6 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",180,"3.6 kOhm resistor, 62.5 mW 0603 Imperial (1608 Metric)"
R61,55.7000,122.9750,1.2 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",90,"1.2 kOhm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R62,50.0250,126.3000,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R63,51.2750,126.3000,10 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",180,"10 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R64,57.7250,129.1750,150 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"150 Ohm resistor, 62.5 mW 0603 Imperial (1608 Metric)"
R65,57.7250,126.3000,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R66,55.6500,129.9750,1.2 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",90,"1.2 kOhm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R67,51.0000,107.3000,270 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",0,"270kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R68,52.2500,107.3000,10 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",0,"10 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R69,25.4500,108.5000,500 mOhm,"Resistor,_0603_Imperial_(1608_Metric)",90,"Current sense resistor, 500 mOhm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R70,24.6500,106.2000,100 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"100 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R71,26.2500,106.2000,100 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"100 Ohm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R72,28.4500,104.0750,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",90,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R73,27.9250,95.6000,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R74,26.6750,95.6000,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",180,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R75,25.4250,95.5500,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",0,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R76,50.7500,47.3000,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",270,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R77,51.2250,59.9250,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R78,52.5250,59.9250,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R79,57.0750,59.9250,270 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",0,"270kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R80,64.5500,71.1200,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",90,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R81,64.5500,75.2250,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",90,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R82,40.0000,81.5000,1 - 100 kOhm,"RESISTOR,_BOURNS_INC,_PTV09A-4015F-B104",270,"100k Ohm 1 Gang Linear Through Hole, Snap In Potentiometer,"
R86,39.6850,66.5750,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",270,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R87,39.6850,65.3250,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",270,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R88,48.0350,64.4750,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",90,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R89,39.6850,69.0750,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",90,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R90,39.6850,70.3250,100 kOhm,"Resistor,_0603_Imperial_(1608_Metric)",90,"100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
R91,37.4250,49.2750,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
R92,35.9000,49.2750,0 Ohm,"Resistor,_0603_Imperial_(1608_Metric)",0,"0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
Screw1,90.0000,5.0000,M2,"PCB_Feature,__Screw_hole,_M2,_threaded_insert",0,PCB hole for screw that is mounted in a threaded insert
Screw2,90.0000,145.0000,M2,"PCB_Feature,__Screw_hole,_M2,_threaded_insert",90,PCB hole for screw that is mounted in a threaded insert
Screw3,5.1500,144.7750,M2,"PCB_Feature,__Screw_hole,_M2,_threaded_insert",90,PCB hole for screw that is mounted in a threaded insert
Screw4,5.1500,5.7500,M2,"PCB_Feature,__Screw_hole,_M2,_threaded_insert",90,PCB hole for screw that is mounted in a threaded insert
SW1,31.7000,60.0000,White,"Switch,_W�rth_Elektronik,_435451019820",180,"Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
SW2,41.7000,60.0000,White,"Switch,_W�rth_Elektronik,_435451019820",180,"Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
SW3,21.7000,60.0000,Black,"Switch,_W�rth_Elektronik,_435451019820",180,"Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
SW4,11.7000,60.0000,Black,"Switch,_W�rth_Elektronik,_435451019820",180,"Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
SW5,40.0000,120.0000,,"Switch,_C&K_,_RM104772BCB",0,SWITCH ROTARY 4POS 500MA 24V
SW6,15.0000,120.0000,,"Switch,_C&K_,_RM104772BCB",0,SWITCH ROTARY 4POS 500MA 24V
TP1,50.8000,129.5400,1 mm,"PCB_Feature,_Testpoint,_1_mm",270,PCB Testpad used for manufacturer tests and programming.
TP2,48.2600,137.1600,1 mm,"PCB_Feature,_Testpoint,_1_mm",0,PCB Testpad used for manufacturer tests and programming.
TP3,53.3400,5.0800,1 mm,"PCB_Feature,_Testpoint,_1_mm",0,PCB Testpad used for manufacturer tests and programming.
TP4,45.3750,107.1250,1 mm,"PCB_Feature,_Testpoint,_1_mm",0,PCB Testpad used for manufacturer tests and programming.
TP5,50.8000,5.0800,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP6,10.1600,114.3000,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP7,43.1800,139.7000,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP8,38.1000,142.2400,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP9,48.2600,114.3000,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP10,40.6400,96.5200,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP11,22.8600,134.6200,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP12,12.7000,134.6200,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP13,17.7800,134.6200,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP14,15.2400,134.6200,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP15,20.3200,134.6200,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP16,55.8800,68.5800,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP17,45.8000,17.6000,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP19,55.8800,66.0400,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP20,53.3400,66.0400,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP21,53.3400,63.5000,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
TP22,53.3400,30.4800,1 mm,"PCB_Feature,_Testpoint,_1_mm",90,PCB Testpad used for manufacturer tests and programming.
